part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
PlmJ,Ribozyme,,,,,0.59;0.21;0.81,,,,,,PlmJ,4,0.59;0.21;0.81,-18,90
DT36,Terminator,,,,,0.59;0.21;0.81,,,,,,DT36,4,0.59;0.21;0.81,-18,90
RiboJ60,Ribozyme,,,,,0.15;0.07;0.22,,,,,,RiboJ60,4,0.15;0.07;0.22,-24,90
pP2hd,Promoter,,,,,0.15;0.07;0.22,,,,,,pP2hd,4,0.15;0.07;0.22,-20,90
pP2,Promoter,,,,,0.79;0.19;0.78,,,,,,pP2,4,0.79;0.19;0.78,-16,90
pWphi,Promoter,,,,,0.83;0.47;0.61,,,,,,pWphi,4,0.83;0.47;0.61,-20,90
P2hd,CDS,,,,,0.15;0.07;0.22,,,,,,P2hd,4,0.15;0.07;0.22,-18,90
P2,CDS,,,,,0.79;0.19;0.78,,,,,,P2,4,0.79;0.19;0.78,-14,90
Wphi,CDS,,,,,0.83;0.47;0.61,,,,,,Wphi,4,0.83;0.47;0.61,-18,90
R12,RBS,,,,,0.15;0.07;0.22,,,,,,R12,4,0.15;0.07;0.22,-16,90
R13,RBS,,,,,0.79;0.19;0.78,,,,,,R13,4,0.79;0.19;0.78,-16,90
R17,RBS,,,,,0.83;0.47;0.61,,,,,,R17,4,0.83;0.47;0.61,-16,90
RiboJ64,Ribozyme,,,,,0.79;0.19;0.78,,,,,,RiboJ64,4,0.79;0.19;0.78,-24,90
DT56,Terminator,,,,,0.15;0.07;0.22,,,,,,DT56,4,0.15;0.07;0.22,-18,90
DT86,Terminator,,,,,0.79;0.19;0.78,,,,,,DT86,4,0.79;0.19;0.78,-18,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
sCin_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,sCin_casse...,4,0.00;0.00;0.00,-36,90
