part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
DT19,Terminator,,,,,0.83;0.47;0.61,,,,,,DT19,4,0.83;0.47;0.61,-18,90
p933W,Promoter,,,,,0.59;0.21;0.81,,,,,,p933W,4,0.59;0.21;0.81,-20,90
933W,CDS,,,,,0.59;0.21;0.81,,,,,,933W,4,0.59;0.21;0.81,-18,90
R9,RBS,,,,,0.59;0.21;0.81,,,,,,R9,4,0.59;0.21;0.81,-14,90
PlmJ,Ribozyme,,,,,0.59;0.21;0.81,,,,,,PlmJ,4,0.59;0.21;0.81,-18,90
DT36,Terminator,,,,,0.59;0.21;0.81,,,,,,DT36,4,0.59;0.21;0.81,-18,90
pP2,Promoter,,,,,0.79;0.19;0.78,,,,,,pP2,4,0.79;0.19;0.78,-16,90
pWphi,Promoter,,,,,0.83;0.47;0.61,,,,,,pWphi,4,0.83;0.47;0.61,-20,90
P2,CDS,,,,,0.79;0.19;0.78,,,,,,P2,4,0.79;0.19;0.78,-14,90
Wphi,CDS,,,,,0.83;0.47;0.61,,,,,,Wphi,4,0.83;0.47;0.61,-18,90
R13,RBS,,,,,0.79;0.19;0.78,,,,,,R13,4,0.79;0.19;0.78,-16,90
R17,RBS,,,,,0.83;0.47;0.61,,,,,,R17,4,0.83;0.47;0.61,-16,90
RiboJ64,Ribozyme,,,,,0.79;0.19;0.78,,,,,,RiboJ64,4,0.79;0.19;0.78,-24,90
DT86,Terminator,,,,,0.79;0.19;0.78,,,,,,DT86,4,0.79;0.19;0.78,-18,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
sRpa_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,sRpa_casse...,4,0.00;0.00;0.00,-36,90
sPhl_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,sPhl_casse...,4,0.00;0.00;0.00,-36,90
